Data Escala de Tempo 1 GE Simp 4;cod_aneel (tb_referenciacegusina (Usina));cod_nucleoaneel (tb_referenciacegusina (Usina));Data Dica;dsc_estado;id_subsistema;nom_tipousinasite;nom_usina2;Período Exibido GE;Selecione Tipo de GE Simp 4
06/01/2018 21:00:00;;;6/1/2018 21:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.00195
06/01/2018 22:00:00;;;6/1/2018 22:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.007377
06/01/2018 23:00:00;;;6/1/2018 23:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.005022
07/01/2018 00:00:00;;;7/1/2018 0:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.004894
07/01/2018 01:00:00;;;7/1/2018 1:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.008233
07/01/2018 02:00:00;;;7/1/2018 2:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.002661
07/01/2018 03:00:00;;;7/1/2018 3:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.006787
07/01/2018 04:00:00;;;7/1/2018 4:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.011256
07/01/2018 05:00:00;;;7/1/2018 5:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.011734
07/01/2018 06:00:00;;;7/1/2018 6:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.015071
07/01/2018 07:00:00;;;7/1/2018 7:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.005734
07/01/2018 08:00:00;;;7/1/2018 8:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.003851
07/01/2018 09:00:00;;;7/1/2018 9:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.017193
07/01/2018 10:00:00;;;7/1/2018 10:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.014335
07/01/2018 11:00:00;;;7/1/2018 11:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.026961
07/01/2018 12:00:00;;;7/1/2018 12:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.026722
07/01/2018 13:00:00;;;7/1/2018 13:00;RIO GRANDE DO SUL;Sul;Eólica; CONJUNTO EOLICO LAGOA DOS BARROS;5;0.032594
